anoMes;codigoPessoa;nomePessoa;tipoPessoa;municipioPessoa;siglaUFPessoa;codigoUG;nomeUG;codigoOrgao;nomeOrgao;codigoOrgaoSuperior;nomeOrgaoSuperior;valor;_anoConsulta
202003;80.655.525/0001-02;CLINMEDI - CLINICA MEDICA ITAJAI LTDA;Entidades Empresariais Privadas;ITAJAÍ;SC;785344;DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAI;52131;Comando da Marinha;52000;Ministério da Defesa;1213.48;2020
202005;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;540007;CAIXA - SNINFRA;54000;Ministério do Turismo - Unidades com vínculo direto;54000;Ministério do Turismo;129044.12;2020
202012;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;443048;ICMBIO GR5 SUL;44207;Instituto Chico Mendes de Conservação da Biodiversidade;44000;Ministério do Meio Ambiente e Mudança do Clima;2384.32;2020
202009;02.362.976/0001-30;FUNDACAO CULTURAL DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;540035;SECRET.DE CIDADANIA E DIVERSIDADE CULTURAL;34902;Fundo Nacional de Cultura;42000;Ministério da Cultura;1442568.92;2020
202008;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1553755.82;2020
202007;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;160446;62º BATALHAO DE INFANTARIA;52121;Comando do Exército;52000;Ministério da Defesa;3610.52;2020
202007;84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;3820.0;2020
202006;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;193125;IBAMA - SUPERINTENDENCIA DE SANTA CATARINA/SC;20701;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;44000;Ministério do Meio Ambiente e Mudança do Clima;189.88;2020
202006;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;153173;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;1177341.26;2020
202009;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;160440;23º BATALHAO DE INFANTARIA;52121;Comando do Exército;52000;Ministério da Defesa;5769.3;2020
202010;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;193125;IBAMA - SUPERINTENDENCIA DE SANTA CATARINA/SC;20701;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;44000;Ministério do Meio Ambiente e Mudança do Clima;409.28;2020
202010;09.333.052/0001-54;COOPERATIVA DE PRODUTORES RURAIS DE ITAJAI COOPERAR;Entidades Empresariais Privadas;ITAJAÍ;SC;160446;62º BATALHAO DE INFANTARIA;52121;Comando do Exército;52000;Ministério da Defesa;20968.63;2020
202010;01.823.752/0001-15;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL-FMAS DO MUNICIPIO DE ITAJAI;Administração Pública;ITAJAÍ;SC;330013;FUNDO NACIONAL DE ASSISTENCIA SOCIAL;55001;Fundo Nacional de Assistência Social;55000;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;80953.61;2020
202010;84.307.974/0001-02;FUNDACAO UNIVERSIDADE DO VALE DO ITAJAI;Entidades Sem Fins Lucrativos;ITAJAÍ;SC;151714;FUNDO DE FINANCIAMENTO ESTUDANTIL;26298;Fundo Nacional de Desenvolvimento da Educação;26000;Ministério da Educação;104655.41;2020
202005;83.102.277/0001-52;MUNICIPIO DE ITAJAI;Administração Pública Municipal;ITAJAÍ;SC;200125;SUPERINTENDENCIA DA PRF EM SANTA CATARINA;30802;Polícia Rodoviária Federal;30000;Ministério da Justiça e Segurança Pública;403.6;2020
