sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;cd_cargo;sg_ue;sq_candidato;sq_eleicao_divulga;nm_regiao;qt_votos_nom_validos
SC;ITAJAÍ;Vereador;45999;LUIS OTAVIO VELOSO SANTIAGO;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904939;2045202024;SUL;137
SC;ITAJAÍ;Vereador;45000;PAULO CESAR TOMAZ;PSDB;Federação PSDB CIDADANIA(PSDB/CIDADANIA);1;Suplente;13;81612;240001904948;2045202024;SUL;207
SC;ITAJAÍ;Vereador;70777;VIVIANE SILVA MARTINS;AVANTE;AVANTE;1;Não eleito;13;81612;240002052974;2045202024;SUL;65
SC;ITAJAÍ;Vereador;10234;MARCELO LUCIANO ALVES;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960681;2045202024;SUL;615
SC;ITAJAÍ;Vereador;15555;LEANDRO LUY PEIXOTO;MDB;MDB;1;Eleito por média;13;81612;240002076422;2045202024;SUL;1766
SC;ITAJAÍ;Vereador;70070;MARIA ISABEL FRANCISCO SCHAUFFERT;AVANTE;AVANTE;1;Não eleito;13;81612;240002052972;2045202024;SUL;182
SC;ITAJAÍ;Vereador;30707;LIDIA GRANEMANN GEMO;NOVO;NOVO;1;Não eleito;13;81612;240002045935;2045202024;SUL;39
SC;ITAJAÍ;Vereador;30128;MARIA APARECIDA TELLES DE BARROS;NOVO;NOVO;1;Não eleito;13;81612;240002045922;2045202024;SUL;30
SC;ITAJAÍ;Vereador;15000;PAMELA DA FONSECA PEREIRA;MDB;MDB;1;Suplente;13;81612;240002076424;2045202024;SUL;415
SC;ITAJAÍ;Vereador;15064;JOSÉ ALBERTO LUZ;MDB;MDB;1;Suplente;13;81612;240002076434;2045202024;SUL;286
SC;ITAJAÍ;Vereador;25000;JAIR JOSÉ RAZERA;PRD;PRD;1;Suplente;13;81612;240001881283;2045202024;SUL;738
SC;ITAJAÍ;Vereador;11020;GERUSA DA SILVA;PP;PP;1;Suplente;13;81612;240001894126;2045202024;SUL;243
SC;ITAJAÍ;Vereador;11999;NERIVAL GERMANO VIEIRA;PP;PP;1;Suplente;13;81612;240001894141;2045202024;SUL;437
SC;ITAJAÍ;Vereador;36456;LUIS MARCOS SANTOS GOMES;AGIR;AGIR;1;Não eleito;13;81612;240001944206;2045202024;SUL;182
SC;ITAJAÍ;Vereador;13333;VALMOR BRUCH;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não eleito;13;81612;240002352291;2045202024;SUL;30
SC;ITAJAÍ;Vereador;11500;ARTUR DE JESUS;PP;PP;1;Suplente;13;81612;240001894124;2045202024;SUL;740
SC;ITAJAÍ;Vereador;44511;JHONATHA ANTONIO SERPA;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974272;2045202024;SUL;561
SC;ITAJAÍ;Vereador;27873;LAIS INEZ DE JESUS SANTOS;DC;DC;1;Não eleito;13;81612;240001939705;2045202024;SUL;63
SC;ITAJAÍ;Vereador;70126;DJALMA GONÇALVES;AVANTE;AVANTE;1;Não eleito;13;81612;240002052961;2045202024;SUL;346
SC;ITAJAÍ;Vereador;33123;FERNANDO DE TARSO CASTELAIN JÚNIOR;MOBILIZA;MOBILIZA;1;Não eleito;13;81612;240002169787;2045202024;SUL;74
SC;ITAJAÍ;Vereador;10193;ISRAEL DOS SANTOS;REPUBLICANOS;REPUBLICANOS;1;Suplente;13;81612;240001960674;2045202024;SUL;268
SC;ITAJAÍ;Vereador;44333;DEIGRE APARECIDA RAMOS GODINHO;UNIÃO;UNIÃO;1;Suplente;13;81612;240001974273;2045202024;SUL;558
SC;ITAJAÍ;Vereador;15655;PAULO ROGÉRIO MAES JUNIOR;MDB;MDB;1;Suplente;13;81612;240002076435;2045202024;SUL;499
SC;ITAJAÍ;Vereador;12000;HILDA CAROLINA DEOLA;PDT;PDT;1;Eleito por média;13;81612;240002115251;2045202024;SUL;1909
SC;ITAJAÍ;Vereador;27207;SIRLEA DE ARAGÃO;DC;DC;1;Não eleito;13;81612;240001939701;2045202024;SUL;7
